mvalerievv1	::1	09/29/2021 05:55:31 pm	Windows 10	Chrome
	::1	09/29/2021 06:22:18 pm	Windows 10	Chrome
	::1	09/29/2021 06:22:34 pm	Windows 10	Chrome
	::1	09/29/2021 06:23:24 pm	Windows 10	Chrome
	::1	09/29/2021 06:25:13 pm	Windows 10	Chrome
	::1	09/29/2021 06:51:23 pm	Windows 10	Chrome
	::1	09/29/2021 06:51:31 pm	Windows 10	Chrome
	::1	09/29/2021 07:25:41 pm	Windows 10	Chrome
	::1	09/29/2021 07:25:59 pm	Windows 10	Chrome
	::1	09/29/2021 07:43:28 pm	Windows 10	Chrome
	::1	09/29/2021 07:44:16 pm	Windows 10	Chrome
	::1	09/29/2021 07:44:25 pm	Windows 10	Chrome
	::1	09/30/2021 03:43:33 am	Windows 10	Chrome
	::1	09/30/2021 03:44:43 am	Windows 10	Chrome
	::1	09/30/2021 03:45:04 am	Windows 10	Chrome
	::1	09/30/2021 03:49:12 am	Windows 10	Chrome
	::1	09/30/2021 04:00:52 am	Windows 10	Chrome
	::1	09/30/2021 04:02:06 am	Windows 10	Chrome
	::1	09/30/2021 04:03:32 am	Windows 10	Chrome
	::1	09/30/2021 04:03:38 am	Windows 10	Chrome
	::1	09/30/2021 04:04:54 am	Windows 10	Chrome
	::1	09/30/2021 04:47:49 am	Windows 10	Chrome
	::1	09/30/2021 05:04:58 am	Windows 10	Chrome
	::1	09/30/2021 05:34:20 am	Windows 10	Chrome
	::1	09/30/2021 05:40:56 am	Windows 10	Chrome
	::1	10/11/2021 12:13:41 am	Windows 10	Chrome
	::1	10/12/2021 01:15:24 am	Windows 10	Chrome
	::1	10/12/2021 05:45:00 pm	Windows 10	Chrome
	::1	10/12/2021 07:01:50 pm	Windows 10	Chrome
	::1	10/12/2021 07:07:53 pm	Windows 10	Chrome
	::1	10/12/2021 11:02:20 pm	Windows 10	Chrome
	::1	10/12/2021 11:52:11 pm	Windows 10	Chrome
	::1	10/12/2021 11:52:41 pm	Windows 10	Chrome
